Share your birthday wishes, thank you note, or anecdotes.;What's your name?;Upload your PFP to be displayed alongside your message.
Happy birthday, Sir Richard! Your kindness and generosity are a true inspiration, and we are so grateful to have you in our lives. May your special day be filled with love, laughter, and all the things you wish for, and may the coming year bring you even more blessings to share with others. Here's to another year of life and all the good it brings!;mon4short;
You are a wonderful soul!  Wishing you a happy, wholesome, family filled birthday! Thank you for everything that you've done and continue to do. You've played a critical role in the success of others and we are proud to have had your support. We are grateful for you and everything you've done. You are a core example of what community means.  Hugs and love <3;Oops;
Happy Birthday Richard! Thanks for the amazing energy you bring to the PoolTogether community and the crypto space as a whole! ;Thumbs Up;https://drive.google.com/u/0/open?usp=forms_web&id=1H4EvUHAStrUdhUWdBZ4pEBSdn1xFPd8K
"Happy Birthday Richard!
You're a constant inspiration in the web3 space and in life. You very literally are the change you want to see in the world. The connector of worlds and the bringer of life changing events. Everyone's life is richer with Richard.";Taliskye;https://drive.google.com/u/0/open?usp=forms_web&id=1vUWVqst9OGwUHM1apW6Z_NwW_HqI3-wx
"Didn't know we'd get a Richard birthday this year - it's only getting better! Have a wonderful birthday, and keep on doing you; the world is a better place because of it.";Ncookie;https://drive.google.com/u/0/open?usp=forms_web&id=1bSs2dEbXxsYnnWhGpXLszlVIrUcWA5yb
Happy Birthday Richard! You truly are one of the most kind-hearted and positive people I know. Your willingness to always help others is truly inspiring and I am so grateful to have you as a friend. I respect you a lot for the person you are and wish you every joy in the world. Cheers to another year of spreading joy and making a difference in the world!;Shivansh;https://drive.google.com/u/0/open?usp=forms_web&id=1Rgp47cQGLp_TQfl0bSNdGeSym8n0LOz9
Thanks for being so supportive now, before and likely in the future! Seems you always have the right attitude and motivation to inspire others. When you just out of nowhere offered me a free phone it really re-invigorated my interest and spark in contributing to the Ethereum space! ;Andy;https://drive.google.com/u/0/open?usp=forms_web&id=16NGcN12g5iTA50lAupdxmuMVwsqy6Qqx
Richard, thanks for your generosity, your vision, and your lessons! It is an honor to know you, ser and I'm so glad you were born!;Tim Cox;https://drive.google.com/u/0/open?usp=forms_web&id=1tUOVXLR-6x1pqEF0rzEGYydzjvpdMAov
Happy birthday Richard! And happy PT birthday too! You joined us Jan 31, 2020. You've been an important part of our community :);Brendan;https://drive.google.com/u/0/open?usp=forms_web&id=1HAcVggBk8geyykIY_LDjMJowTRM4hLMl
Listening to Richard tell a story is like opening a box of chocolates on Valentine's day. You never know what kind of treasure you're about to bite into, but you're going to enjoy whatever it is. Happy Birthday buddy!;DaBoom;
Richard has been a great friend since the very beginning, even without knowing me. I wish him double the good he does for everyone. You are the best Richard!;Nahuel;
Richard! You are an inspiration! The best friend and biggest supporter someone could ask for. I am lucky to have you in my life!;Leighton;https://drive.google.com/u/0/open?usp=forms_web&id=17mJAMTfVk0K81kqIr64KhUCgQ0JhVDCd
Thank you for all that you do in the PoolTogether community 🫡🤝;Dylan;https://drive.google.com/u/0/open?usp=forms_web&id=1PWV4jNhg9H8YY1dRHuQKUTx4BrV_QJci
Happy birthday! 🎉;Pedro;https://drive.google.com/u/0/open?usp=forms_web&id=1kTwCH7rONHShBsBgMSTbfeOcRIK_b-7f
"Richard! You are one of the most kind, thoughtful, driven, and unique people I've met in this space. We need more Richards! You karate chop the idea of risk-averse in the face (nfa, DYOR), a bullishness I see as a reflection of your conviction in Crypto and the community behind it. 

I barely knew you and you changed my life this past year. Thank you for encouraging me to use Juicebox to raise funds for my car. In retrospect, that was a trigger event that brought so much positivity and bravery into my life. A few weeks later, I applied to ConsenSys. I had eyed the job before but didn't believe I was 'cut out' for it. Bro, I am literally the puzzle piece that fits into that job, that's how cut out for it I am. I took a powerful community to prove that to me.  

I'm starting my new position as Senior Copywriter at ConsenSys on January 31st :) 

Keep being you. There are other Livsters out there who need you, and your impact on me will allow me to be a Richard to those new Livsters with so much talent, but so little belief in themselves. 

Happy Birthday!!";Livster;https://drive.google.com/u/0/open?usp=forms_web&id=1s12hTW3E7mxhf53KFWn0kz6Yj7eG2kuP
I don't know where to start! Thank you for always elevating others, be it through direct help, your ability to connect with others, or simply with humor. Your positive attitude is contagious and you must be the kindest heart I know. One thing is sure - PoolTogether would not be the same without you. Happy Birthday, Richard!;Tjark;https://drive.google.com/u/0/open?usp=forms_web&id=1wZnbJ8yQxFHb4ZmHdLWreVZ_uuJ0kJVP
